Intel Xeon W3670,32.0,130.0,239.0
Intel Core i7-4610M,22.0,37.0,118.0
AMD Opteron 6282 SE,32.0,140.0,316.0
Intel Pentium 4 HT 631,65.0,86.0,81.0
Intel Xeon L5609,32.0,40.0,239.0
AMD Phenom II X3 715 BE,45.0,95.0,258.0
Intel Xeon E5603,32.0,80.0,239.0
Intel Pentium G2100T,22.0,35.0,94.0
Intel Pentium 4 HT 660,90.0,84.0,109.0
Intel Celeron 887,32.0,17.0,131.0
AMD A8-3550MX,32.0,45.0,228.0
Intel Xeon E-2124,14.0,72.0,126.0
AMD Phenom II X4 830,45.0,95.0,258.0
AMD Athlon II X2 250,45.0,65.0,117.0
AMD FX-6200,32.0,125.0,315.0
AMD Opteron 848,130.0,89.0,193.0
AMD Phenom X4 9350e,65.0,65.0,285.0
Intel Pentium B980,32.0,35.0,131.0
AMD Athlon II X4 635,45.0,95.0,169.0
Intel Celeron B810,32.0,35.0,131.0
Intel A100,90.0,3.0,66.0
AMD A12-9800E,28.0,35.0,246.0
Intel Xeon Phi SE10P,22.0,300.0,350.0
Intel Core 2 Duo E6750,65.0,65.0,143.0
Intel Core i7-990X,32.0,130.0,239.0
Intel Core 2 Duo E4300,65.0,65.0,111.0
AMD A4-1250,32.0,8.0,246.0
Intel Pentium 4 HT 2.80,130.0,70.0,131.0
AMD Ryzen 7 1700X,14.0,95.0,192.0
AMD A6-3650,32.0,100.0,228.0
AMD Ryzen Embedded V1605B,14.0,15.0,210.0
Intel Pentium 4 HT 620,90.0,84.0,135.0
Intel Core 2 Duo T5600,65.0,35.0,143.0
AMD Athlon 64 LE-1640,90.0,45.0,3.0
AMD A10-5800B,32.0,100.0,246.0
Intel Core Solo T1200,65.0,27.0,90.0
AMD Athlon 64 3800+,130.0,89.0,144.0
Intel Xeon Phi 31S1P,22.0,270.0,350.0
Intel Xeon MP 7040 Dual-Core,90.0,135.0,213.0
Intel Pentium 4 2.80,130.0,110.0,146.0
AMD Phenom II X2 B57,45.0,80.0,258.0
Intel Celeron G1840T,22.0,54.0,177.0
Intel Core i3-3120M,22.0,35.0,118.0
AMD EPYC 7402,7.0,180.0,74.0
Intel Pentium 4 1.9,180.0,69.0,217.0
AMD Opteron 6284 SE,32.0,140.0,316.0
AMD Opteron 4340,32.0,95.0,315.0
AMD Athlon II X4 638,32.0,65.0,228.0
AMD Sempron 3800+,90.0,62.0,103.0
Intel Pentium 2117U,22.0,17.0,118.0
AMD Athlon 800,180.0,45.0,120.0
Intel Core 2 Quad Q7600,45.0,95.0,82.0
Intel Xeon E7-8870,32.0,130.0,513.0
AMD FX-8350,32.0,125.0,315.0
AMD Athlon 64 X2 4400+ EE,90.0,65.0,220.0
Intel Core 2 Duo T5200,65.0,35.0,143.0
AMD Opteron 4386,32.0,95.0,315.0
Intel Xeon W5580,45.0,130.0,263.0
AMD Athlon X2 BE-2400,65.0,45.0,126.0
AMD Phenom II X4 920,45.0,125.0,258.0
AMD Sempron 2500+,90.0,62.0,84.0
AMD Sempron 3500+,90.0,62.0,84.0
AMD Opteron 250,130.0,89.0,193.0
Intel Xeon MP 7030 Dual-Core,90.0,135.0,213.0
AMD FX-8170,32.0,125.0,315.0
Intel Core i7-2860QM,32.0,45.0,216.0
Intel Core i7-9750HF,14.0,45.0,149.0
Intel Pentium 350,32.0,15.0,131.0
AMD Ryzen 5 2600X,12.0,95.0,192.0
Intel Core M-5Y70,14.0,5.0,50.0
Intel Pentium 4 HT 2.40,130.0,66.0,131.0
AMD Ryzen 7 4700U,7.0,25.0,156.0
Intel Atom E620T,45.0,3.0,26.0
AMD Opteron 43GK HE,32.0,65.0,315.0
AMD Athlon X2 7450,65.0,95.0,285.0
AMD Ryzen 5 1500X,14.0,65.0,192.0
AMD Athlon 64 X2 4400+,90.0,110.0,199.0
AMD A4-4300M,32.0,35.0,246.0
Intel Core i5-670,32.0,73.0,81.0
Intel Core 2 Duo U7600,65.0,10.0,111.0
Intel Core i7-4760HQ,22.0,47.0,264.0
